Species	logn50	logcontigcount	logl50	logtotlen	logcoverage	gccontent
Calditrichaeota bacterium	3.792	2.7155	2.097	6.5555	1.333	0.4385	
Campylobacter curvus	5.33	1.447	0.602	6.291	2.17	0.44299999999999995	
Campylobacter helveticus	4.49	2.19	1.255	6.263	2.283	0.34299999999999997	
Campylobacter hepaticus	4.9615	1.663	0.778	6.171	1.602	0.27899999999999997	
Campylobacter hyointestinalis	5.2325	1.638	0.602	6.2515	2.0	0.33899999999999997	
Campylobacter lanienae	4.837	1.9264999999999999	0.8115	6.214	1.744	0.34349999999999997	
Campylobacteraceae bacterium	4.721	1.806	1.041	6.231	1.431	0.374	
Campylobacterales bacterium	3.778	2.396	1.813	6.219	1.147	0.366	
Candidatus Acetothermia bacterium	3.587	2.3865	1.857	6.0465	1.2429999999999999	0.6214999999999999	
Candidatus Adlerbacteria bacterium	4.386	1.748	1.079	5.922	0.0	0.5429999999999999	
Candidatus Aenigmarchaeota archaeon	3.742	1.964	1.462	5.746	1.234	0.377	
Candidatus Aerophobetes bacterium	3.6425	2.4115	1.829	6.119	1.0695000000000001	0.4085	
Candidatus Altiarchaeales archaeon	3.965	2.185	1.623	6.005	1.538	0.392	
Candidatus Aminicenantes bacterium	3.726	2.562	2.0	6.335	1.041	0.442	
Candidatus Anoxychlamydiales bacterium	4.082	2.223	1.58	6.185	1.082	0.302	
Candidatus Atribacteria bacterium	3.868	2.496	1.892	6.295	1.25	0.38299999999999995	
Candidatus Brocadiaceae bacterium	3.7465	2.601	2.082	6.374499999999999	1.069	0.5615	
Candidatus Buchananbacteria bacterium	3.681	2.201	1.724	5.878	0.0	0.40399999999999997	
Candidatus Campbellbacteria bacterium	4.208	1.785	1.114	5.768	1.313	0.408	
Candidatus Cloacimonetes bacterium	3.833	2.4845	1.867	6.3004999999999995	1.343	0.39349999999999996	
Candidatus Collierbacteria bacterium	3.9225	2.1745	1.498	5.928	0.0	0.413	
Candidatus Competibacteraceae bacterium	3.966	2.448	1.8835	6.4695	1.9685000000000001	0.552	
Candidatus Dadabacteria bacterium	3.7845	2.491	1.8904999999999998	6.2245	0.98	0.432	
Candidatus Dependentiae bacterium	4.074	1.9935	1.4545	5.991	0.8225	0.3695	
Candidatus Diapherotrites archaeon	4.048	1.97	1.296	5.882	1.3595000000000002	0.384	
Candidatus Dojkabacteria bacterium	4.0555	2.024	1.423	5.8695	1.5859999999999999	0.3465	
Candidatus Eisenbacteria bacterium	3.883	2.797	2.158	6.564	0.893	0.675	
Candidatus Eremiobacteraeota bacterium	4.7170000000000005	1.9649999999999999	1.259	6.4645	1.7515	0.6265000000000001	
Candidatus Falkowbacteria bacterium	4.068	2.0665	1.4224999999999999	5.961	0.6065	0.381	
Candidatus Firestonebacteria bacterium	4.122	2.364	1.623	6.278	0.0	0.486	
Candidatus Fonsibacter lacus	3.633	2.378	1.708	5.889	1.021	0.302	
Candidatus Fonsibacter ubiquis	3.748	2.292	1.519	5.873	0.894	0.293	
Candidatus Gastranaerophilales bacterium	4.5665	2.029	1.2425	6.275	1.3115	0.34	
Candidatus Gracilibacteria bacterium	4.426	1.799	1.146	6.027	1.045	0.355	
Candidatus Hydrogenedentes bacterium	3.867	2.733	2.173	6.554	0.963	0.601	
Candidatus Izimaplasma sp.	4.077	2.138	1.505	6.083	1.2795	0.435	
